City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
123,Olafsvik,IS,64.8945,-23.7142,40.86,67,22,10.25,few clouds
124,Puerto Ayora,EC,-0.7393,-90.3518,78.76,92,65,8.99,broken clouds
125,Bethel,US,41.3712,-73.414,49.35,45,0,8.05,clear sky
126,Souillac,MU,-20.5167,57.5167,75.58,83,40,3.44,scattered clouds
127,Smoky Lake,CA,54.1169,-112.4686,38.12,65,100,3.44,overcast clouds
128,Ntcheu,MW,-14.8203,34.6359,70.63,71,87,3.0,light rain
129,Dingle,PH,10.9995,122.6711,75.34,92,83,5.46,broken clouds
130,Necochea,AR,-38.5473,-58.7368,63.66,39,0,6.33,clear sky
131,Longyan,CN,25.1072,117.0225,68.99,99,100,2.24,overcast clouds
132,Qaanaaq,GL,77.484,-69.3632,8.73,82,99,4.9,overcast clouds
133,Hualmay,PE,-11.0964,-77.6139,69.76,74,13,8.52,few clouds
134,Sakaiminato,JP,35.55,133.2333,51.78,100,75,2.3,broken clouds
135,Takaka,NZ,-40.85,172.8,57.56,58,41,8.7,light rain
136,Luderitz,NA,-26.6481,15.1594,63.99,70,4,5.01,clear sky
137,Severnyy,RU,50.677,36.5532,32.04,93,100,13.42,overcast clouds
138,Kamenka,RU,51.3223,42.7678,46.27,96,100,15.84,light rain
139,Yellowknife,CA,62.456,-114.3525,28.92,93,100,11.99,light snow
140,Gamba,GA,-2.65,10.0,77.4,87,35,2.93,scattered clouds
141,Vanavara,RU,60.34,102.2797,-8.7,90,100,7.78,overcast clouds
142,Changji,CN,44.0167,87.3167,38.19,65,0,2.24,clear sky
143,Ixtapa,MX,20.7,-105.2,79.83,69,40,6.91,scattered clouds
144,Pangai,TO,-19.8,-174.35,82.51,69,20,12.66,few clouds
145,Barguzin,RU,53.6167,109.6167,1.35,82,25,5.3,scattered clouds
146,Broken Hill,AU,-31.95,141.4333,55.24,68,0,8.79,clear sky
147,Hobyo,SO,5.3505,48.5268,80.31,70,31,16.15,scattered clouds
148,Falkenberg,SE,56.9055,12.4912,37.54,92,100,16.06,light rain
149,Yulara,AU,-25.2406,130.9889,63.39,42,86,5.3,overcast clouds
150,Gushi,CN,34.6425,109.5843,45.99,84,6,4.36,clear sky
151,North Bend,US,43.4065,-124.2243,58.91,91,100,12.66,overcast clouds
152,Genhe,CN,50.7833,121.5167,-13.11,100,24,1.19,few clouds
153,Kandi,BJ,11.1342,2.9386,77.88,24,9,4.7,clear sky
154,Nuuk,GL,64.1835,-51.7216,21.81,79,75,13.8,broken clouds
155,Hervey Bay,AU,-25.2986,152.8535,66.02,76,90,14.0,overcast clouds
156,Klaksvik,FO,62.2266,-6.589,36.52,71,100,25.43,overcast clouds
157,East London,ZA,-33.0153,27.9116,66.63,90,64,4.74,broken clouds
158,Port Alfred,ZA,-33.5906,26.891,66.18,89,91,1.01,overcast clouds
159,Acarau,BR,-2.8856,-40.12,81.75,67,25,19.84,scattered clouds
160,Kruisfontein,ZA,-34.0033,24.7314,59.4,90,34,5.84,scattered clouds
161,Victor Harbor,AU,-35.5667,138.6167,53.01,88,100,7.16,overcast clouds
162,Santiago Del Estero,AR,-27.7951,-64.2615,84.16,26,0,4.52,clear sky
163,Ler,SS,8.3018,30.1418,79.84,43,14,3.2,few clouds
164,Butaritari,KI,3.0707,172.7902,81.66,76,76,11.65,broken clouds
165,Barrow,US,71.2906,-156.7887,12.22,85,100,19.57,light snow
166,Broome,US,42.2506,-75.833,47.66,50,0,6.91,clear sky
167,Helong,CN,42.5397,128.9972,29.5,91,100,2.8,overcast clouds
168,Port Lincoln,AU,-34.7333,135.8667,56.08,76,99,6.22,overcast clouds
169,Mount Isa,AU,-20.7333,139.5,73.17,20,83,10.36,broken clouds
170,Cap Malheureux,MU,-19.9842,57.6142,74.46,77,1,4.0,clear sky
171,Popondetta,PG,-8.7537,148.2534,73.63,93,100,2.8,overcast clouds
172,Carnarvon,AU,-24.8667,113.6333,70.63,79,38,12.28,scattered clouds
173,Amapa,BR,1.0,-52.0,83.19,58,100,2.35,overcast clouds
174,Kieta,PG,-6.2167,155.6333,80.02,78,100,3.4,overcast clouds
175,Marzuq,YE,14.4,46.4667,63.73,52,0,1.72,clear sky
176,Mutata,CO,7.2441,-76.4356,80.4,90,94,2.86,overcast clouds
177,Half Moon Bay,US,37.4636,-122.4286,66.58,54,0,3.44,clear sky
178,Severo-Kurilsk,RU,50.6789,156.125,35.06,69,78,24.79,broken clouds
179,Bousse,BF,12.6606,-1.8922,79.34,17,90,8.48,overcast clouds
180,Progreso,MX,21.2833,-89.6667,89.71,72,94,8.86,light rain
181,Ialibu,PG,-6.2821,143.9935,54.7,95,86,3.56,overcast clouds
182,Vysokogornyy,RU,50.1167,139.15,5.14,98,94,4.05,overcast clouds
183,Kaeo,NZ,-35.1,173.7833,62.33,89,3,15.77,clear sky
184,Nampa,US,43.5407,-116.5635,38.84,63,0,4.61,clear sky
185,Kutum,SD,14.2,24.6667,69.1,25,0,7.31,clear sky
186,Orlik,RU,52.5178,99.825,-5.87,93,98,1.59,overcast clouds
187,Rach Gia,VN,10.0167,105.0833,76.91,89,100,3.15,overcast clouds
188,Luangwa,ZM,-15.6167,30.4167,81.41,48,97,3.06,overcast clouds
189,Kavieng,PG,-2.5744,150.7967,83.01,68,94,13.2,overcast clouds
190,Yeppoon,AU,-23.1333,150.7333,71.38,66,100,8.7,overcast clouds
191,Airai,TL,-8.9266,125.4092,62.38,88,100,1.39,overcast clouds
192,Ambon,ID,-3.6954,128.1814,75.34,100,40,2.3,scattered clouds
193,Pangnirtung,CA,66.1451,-65.7125,5.0,56,75,2.3,broken clouds
194,Ilulissat,GL,69.2167,-51.1,19.42,86,20,5.75,few clouds
195,Otradnoye,RU,59.7775,30.8181,26.65,81,100,7.07,overcast clouds
196,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.97,79,61,12.12,broken clouds
197,Kostomuksha,RU,64.571,30.5767,11.73,99,90,2.95,overcast clouds
198,Castro,BR,-24.7911,-50.0119,71.47,69,67,5.37,light rain
199,Coahuayana,MX,18.7333,-103.6833,89.1,52,3,6.06,clear sky
200,Yarmouth,US,41.7057,-70.2286,48.96,50,0,11.5,clear sky
201,Aksaray,TR,38.3726,34.0254,52.02,60,83,5.01,broken clouds
202,Aklavik,CA,68.2191,-135.0107,15.96,94,100,11.99,light snow
203,Naryan-Mar,RU,67.6713,53.087,10.44,94,99,11.61,overcast clouds
204,Massakory,TD,12.996,15.7293,78.6,10,3,9.73,clear sky
205,Omboue,GA,-1.5746,9.2618,77.41,89,37,3.8,scattered clouds
206,Mar Del Plata,AR,-38.0023,-57.5575,69.84,52,0,11.99,clear sky
207,Sola,VU,-13.8833,167.55,82.69,73,14,13.51,few clouds
208,Madanapalle,IN,13.55,78.5,67.75,96,100,3.2,overcast clouds
209,Flinders,AU,-34.5833,150.8552,62.19,62,3,11.99,clear sky
210,Sayyan,YE,15.1718,44.3244,51.15,57,51,6.06,broken clouds
211,Teya,RU,60.3778,92.6267,1.06,97,100,3.69,light snow
212,Victoria,HK,22.2855,114.1577,76.17,92,99,10.0,overcast clouds
213,Erzin,TR,36.9559,36.2,61.11,62,1,6.31,clear sky
214,Torrington,US,41.8007,-73.1212,48.78,46,18,3.0,few clouds
215,Vestmanna,FO,62.1564,-7.1664,34.72,80,75,10.36,broken clouds
216,Charters Towers,AU,-20.1,146.2667,74.61,84,37,9.13,scattered clouds
217,Vostok,RU,46.4856,135.8833,5.85,94,5,4.41,clear sky
218,Taganak,PH,6.0833,118.3,75.34,75,100,0.98,overcast clouds
219,Betioky,MG,-23.7167,44.3833,68.13,58,0,10.69,clear sky
220,Coxim,BR,-18.5067,-54.76,89.1,42,79,4.29,broken clouds
221,Bredasdorp,ZA,-34.5322,20.0403,61.9,77,94,5.23,overcast clouds
222,Whitehorse,CA,60.7161,-135.0538,32.77,80,75,13.8,broken clouds
223,El Tigre,VE,8.8875,-64.2454,81.36,64,99,8.16,overcast clouds
224,Kirakira,SB,-10.4544,161.9205,81.68,77,26,7.23,scattered clouds
225,Marsa Matruh,EG,31.3525,27.2453,61.0,67,0,3.44,clear sky
226,Sambava,MG,-14.2667,50.1667,71.06,89,100,6.85,overcast clouds
227,Saint-Denis,FR,48.9167,2.3333,50.77,73,75,14.97,broken clouds
228,Olden,NO,61.8364,6.8064,34.54,78,14,9.37,few clouds
229,Banda Aceh,ID,5.5577,95.3222,78.06,83,90,7.63,overcast clouds
230,Makakilo City,US,21.3469,-158.0858,79.12,64,0,18.41,clear sky
231,Camocim,BR,-2.9022,-40.8411,84.58,62,10,19.75,clear sky
232,Hamilton,US,39.1834,-84.5333,57.25,30,0,11.5,clear sky
233,Asau,RO,46.4333,26.4,33.28,89,100,2.26,overcast clouds
234,Alcantara,BR,-2.4089,-44.4147,89.8,69,18,9.19,few clouds
235,Gander,CA,48.9682,-54.5906,28.53,100,100,6.91,snow
236,Tete,MZ,-16.1564,33.5867,87.89,48,40,9.22,scattered clouds
237,Scottsbluff,US,41.8666,-103.6672,55.78,21,0,6.91,clear sky
238,Sompeta,IN,18.9333,84.6,73.36,78,6,3.53,clear sky
239,Leningradskiy,RU,69.3833,178.4167,-12.01,92,100,9.84,overcast clouds
240,Aksu,CN,41.1231,80.2644,35.62,30,17,1.63,few clouds
241,Bundaberg,AU,-24.85,152.35,65.21,91,66,1.01,broken clouds
