City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
189,Sao Gabriel Da Cachoeira,-0.1303,-67.0892,72.09,98,82,2.42,BR,2022-11-19 02:58:53
190,Roald,62.5833,6.1333,40.75,70,20,9.22,NO,2022-11-19 02:58:53
191,Cozumel,20.5083,-86.9458,74.07,93,20,7.0,MX,2022-11-19 02:58:53
192,Qaanaaq,77.484,-69.3632,-9.63,67,7,6.8,GL,2022-11-19 02:58:54
193,Adrar,20.5022,-10.0711,64.96,18,0,6.26,MR,2022-11-19 02:58:54
194,Hinton,53.4001,-117.5857,17.46,85,16,6.69,CA,2022-11-19 02:58:54
195,Bambous Virieux,-20.3428,57.7575,73.22,88,20,5.75,MU,2022-11-19 02:55:10
196,Khash,28.2211,61.2158,57.94,59,100,2.68,IR,2022-11-19 02:58:55
197,Asosa,10.0667,34.5333,60.75,50,60,5.26,ET,2022-11-19 02:58:55
198,Videira,-27.0083,-51.1517,52.23,83,0,3.11,BR,2022-11-19 02:58:55
199,Tiarei,-17.5333,-149.3333,73.42,90,100,18.43,PF,2022-11-19 02:58:56
200,Portland,45.5234,-122.6762,42.89,47,26,11.01,US,2022-11-19 02:58:51
201,Karatau,43.1667,70.4667,46.22,87,100,13.33,KZ,2022-11-19 02:58:56
202,Mbekenyera,-10.0,38.9833,69.13,92,58,3.69,TZ,2022-11-19 02:58:56
203,Harper,4.375,-7.7169,77.0,84,12,5.88,LR,2022-11-19 02:58:57
204,Blagnac,43.6328,1.394,48.34,87,100,10.36,FR,2022-11-19 02:58:57
205,Taloda,21.5667,74.2167,71.1,34,1,6.55,IN,2022-11-19 02:58:57
206,Wau,7.7029,27.9953,71.78,41,100,4.36,SS,2022-11-19 02:58:58
207,Chemal,51.4111,86.005,13.14,70,9,5.19,RU,2022-11-19 02:58:58
208,Salalah,17.0151,54.0924,74.43,71,0,3.6,OM,2022-11-19 02:58:58
209,Talnakh,69.4865,88.3972,6.21,95,100,12.33,RU,2022-11-19 02:58:59
210,Aklavik,68.2191,-135.0107,20.48,78,100,3.6,CA,2022-11-19 02:58:59
211,Sao Jose Do Egito,-7.4789,-37.2744,72.64,68,23,8.59,BR,2022-11-19 02:58:59
212,Cabo San Lucas,22.8909,-109.9124,73.18,73,12,6.78,MX,2022-11-19 02:55:29
213,Gat,31.61,34.7642,64.4,67,1,3.74,IL,2022-11-19 02:56:04
214,Lagoa,39.05,-27.9833,63.46,74,82,18.66,PT,2022-11-19 02:59:00
215,Taoudenni,22.6783,-3.9836,72.1,13,76,5.95,ML,2022-11-19 02:59:00
216,Cayenne,4.9333,-52.3333,75.24,94,20,0.0,GF,2022-11-19 02:54:45
217,Nikolskoye,59.7035,30.7861,24.69,68,17,8.46,RU,2022-11-19 02:59:00
218,Lata,40.1629,-8.3327,48.07,91,99,1.88,PT,2022-11-19 02:59:01
219,Faanui,-16.4833,-151.75,78.01,81,99,11.99,PF,2022-11-19 02:59:01
220,Te Anau,-45.4167,167.7167,68.88,56,100,2.21,NZ,2022-11-19 02:59:01
221,Mulchen,-37.7167,-72.2333,56.66,82,3,7.85,CL,2022-11-19 02:59:02
222,Bredasdorp,-34.5322,20.0403,53.62,79,13,7.43,ZA,2022-11-19 02:59:02
223,Sao Felix Do Xingu,-6.6447,-51.995,72.03,95,100,1.77,BR,2022-11-19 02:59:02
224,Lucea,18.451,-78.1736,80.46,79,100,4.81,JM,2022-11-19 02:59:03
225,Flin Flon,54.7682,-101.865,6.89,90,98,8.9,CA,2022-11-19 02:59:03
226,Pevek,69.7008,170.3133,-22.52,100,26,0.29,RU,2022-11-19 03:00:04
227,Maragogi,-9.0122,-35.2225,75.92,83,91,7.45,BR,2022-11-19 03:00:05
228,Ushtobe,45.2514,77.9838,32.74,72,100,3.42,KZ,2022-11-19 03:00:05
229,Tuatapere,-46.1333,167.6833,71.98,51,77,12.24,NZ,2022-11-19 03:00:06
230,Urucara,-2.5364,-57.76,79.45,55,100,1.01,BR,2022-11-19 03:00:06
231,Nikel,69.4128,30.222,26.78,90,96,12.86,RU,2022-11-19 03:00:07
232,Kirakira,-10.4544,161.9205,84.09,73,100,5.86,SB,2022-11-19 03:00:08
233,Boundiali,9.5217,-6.4869,68.54,39,81,2.64,CI,2022-11-19 03:00:09
234,Kaitangata,-46.2817,169.8464,53.74,93,100,10.16,NZ,2022-11-19 03:00:09
235,Bafilo,9.35,1.2667,69.33,44,42,3.24,TG,2022-11-19 03:00:10
236,Tiksi,71.6872,128.8694,-18.09,97,100,6.17,RU,2022-11-19 03:00:10
237,North Myrtle Beach,33.816,-78.68,41.02,49,69,1.16,US,2022-11-19 03:00:11
238,Narsaq,60.9167,-46.05,21.42,88,73,6.93,GL,2022-11-19 03:00:11
239,Solnechnyy,50.7214,136.6319,26.92,72,55,5.84,RU,2022-11-19 03:00:12
240,Turbat,26.0023,63.044,73.09,67,100,0.34,PK,2022-11-19 03:00:12
241,Norman Wells,65.282,-126.8329,10.83,80,22,1.63,CA,2022-11-19 03:00:12
